ID,cpu_type,cpu_freqcpu_cores,ram_gb,has_nvidia,nvidia_gpu_name,nvidia_vram_gb,os,batch_size,buffer_size,learning_rate,beta,epsilon,lambd,num_epoch,learning_rate_schedule,ram_mb_used,ram_usage_percent,ram_avg_percent,benchmark_steps,benchmark_mean,benchmark_reached
BasicPPO.02.CB.58,AMD Ryzen 9 7945HX with Radeon Graphics,2.5,32,31,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,32,256,0.0003,0.005,0.16,0.95,5,linear,17631.51,55.0,54.98,12000,0.93,True
BasicPPO.02.CB.59,AMD Ryzen 9 7945HX with Radeon Graphics,2.5,32,31,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,32,256,0.0003,0.005,0.16,0.95,6,linear,17374.1,53.5,53.34,10000,0.93,True
BasicPPO.02.CB.6,AMD Ryzen 9 7945HX with Radeon Graphics,2.5,32,31,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,16,256,0.0003,0.005,0.06,0.95,3,linear,17144.73,53.1,53.2,24000,0.93,True
BasicPPO.02.CB.60,AMD Ryzen 9 7945HX with Radeon Graphics,2.5,32,31,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,32,256,0.0003,0.005,0.16,0.95,7,linear,16995.66,52.1,52.45,10000,0.93,True
BasicPPO.02.CB.61,AMD Ryzen 9 7945HX with Radeon Graphics,2.5,32,31,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,64,256,0.0003,0.005,0.04,0.95,3,linear,16729.9,52.0,52.04,28000,0.93,True
BasicPPO.02.CB.62,AMD Ryzen 9 7945HX with Radeon Graphics,2.5,32,31,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,64,256,0.0003,0.005,0.04,0.95,4,linear,16639.26,51.1,51.36,26000,0.93,True
BasicPPO.02.CB.63,AMD Ryzen 9 7945HX with Radeon Graphics,2.5,32,31,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,64,256,0.0003,0.005,0.04,0.95,5,linear,16313.92,51.0,50.96,26000,0.93,True
BasicPPO.02.CB.64,AMD Ryzen 9 7945HX with Radeon Graphics,2.5,32,31,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,64,256,0.0003,0.005,0.04,0.95,6,linear,16348.87,51.0,51.05,2000,0.578,False
BasicPPO.02.CB.65,AMD Ryzen 9 7945HX with Radeon Graphics,2.5,32,31,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,64,256,0.0003,0.005,0.04,0.95,7,linear,16340.56,49.7,50.67,20000,0.93,True
BasicPPO.02.CB.66,AMD Ryzen 9 7945HX with Radeon Graphics,2.5,32,31,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,64,256,0.0003,0.005,0.06,0.95,3,linear,17547.96,54.5,52.0,32000,0.93,True
BasicPPO.02.CB.67,AMD Ryzen 9 7945HX with Radeon Graphics,2.5,32,31,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,64,256,0.0003,0.005,0.06,0.95,4,linear,18735.62,58.0,57.66,2000,0.32,False
BasicPPO.02.CB.68,AMD Ryzen 9 7945HX with Radeon Graphics,2.5,32,31,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,64,256,0.0003,0.005,0.06,0.95,5,linear,18921.72,58.7,58.67,20000,0.93,True
BasicPPO.02.CB.69,AMD Ryzen 9 7945HX with Radeon Graphics,2.5,32,31,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,64,256,0.0003,0.005,0.06,0.95,6,linear,18753.69,57.2,57.7,24000,0.93,True
BasicPPO.02.CB.7,AMD Ryzen 9 7945HX with Radeon Graphics,2.5,32,31,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,16,256,0.0003,0.005,0.06,0.95,4,linear,18626.87,58.3,57.72,14000,0.93,True
BasicPPO.02.CB.70,AMD Ryzen 9 7945HX with Radeon Graphics,2.5,32,31,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,64,256,0.0003,0.005,0.06,0.95,7,linear,18917.92,58.2,58.42,2000,0.415,False
BasicPPO.02.CB.71,AMD Ryzen 9 7945HX with Radeon Graphics,2.5,32,31,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,64,256,0.0003,0.005,0.08,0.95,3,linear,19061.14,59.7,59.08,26000,0.93,True
BasicPPO.02.CB.72,AMD Ryzen 9 7945HX with Radeon Graphics,2.5,32,31,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,64,256,0.0003,0.005,0.08,0.95,4,linear,20468.95,63.1,61.66,26000,0.93,True
BasicPPO.02.CB.73,AMD Ryzen 9 7945HX with Radeon Graphics,2.5,32,31,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,64,256,0.0003,0.005,0.08,0.95,5,linear,20202.57,63.3,63.06,20000,0.93,True
BasicPPO.02.CB.74,AMD Ryzen 9 7945HX with Radeon Graphics,2.5,32,31,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,64,256,0.0003,0.005,0.08,0.95,6,linear,20316.82,62.5,63.04,20000,0.93,True
BasicPPO.02.CB.75,AMD Ryzen 9 7945HX with Radeon Graphics,2.5,32,31,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,64,256,0.0003,0.005,0.08,0.95,7,linear,20039.43,61.6,62.11,18000,0.93,True
BasicPPO.02.CB.76,AMD Ryzen 9 7945HX with Radeon Graphics,2.5,32,31,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,64,256,0.0003,0.005,0.12,0.95,3,linear,20576.11,61.5,62.53,28000,0.93,True
BasicPPO.02.CB.77,AMD Ryzen 9 7945HX with Radeon Graphics,2.5,32,31,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,64,256,0.0003,0.005,0.12,0.95,4,linear,20615.41,62.6,61.82,24000,0.93,True
BasicPPO.02.CB.78,AMD Ryzen 9 7945HX with Radeon Graphics,2.5,32,31,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,64,256,0.0003,0.005,0.12,0.95,5,linear,20691.97,62.1,64.1,18000,0.93,True
BasicPPO.02.CB.79,AMD Ryzen 9 7945HX with Radeon Graphics,2.5,32,31,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,64,256,0.0003,0.005,0.12,0.95,6,linear,20269.85,63.2,62.2,18000,0.93,True
BasicPPO.02.CB.8,AMD Ryzen 9 7945HX with Radeon Graphics,2.5,32,31,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,16,256,0.0003,0.005,0.06,0.95,5,linear,20424.08,56.4,58.5,14000,0.93,True
BasicPPO.02.CB.80,AMD Ryzen 9 7945HX with Radeon Graphics,2.5,32,31,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,64,256,0.0003,0.005,0.12,0.95,7,linear,20121.61,62.7,58.6,2000,0.498,False
